age_from \ age_to,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75+,Row total
0-4,2.57566,1.92129,1.05695,0.61094,0.79801,1.05326,0.92506,0.76430,0.46639,0.32625,0.30040,0.26326,0.22178,0.18176,0.15064,0.13967,11.75562
5-9,2.00428,6.14133,2.07750,0.75639,0.48079,0.92817,0.96739,0.90206,0.69410,0.43269,0.36211,0.29064,0.27847,0.20158,0.15182,0.14180,16.81112
10-14,0.83471,3.12071,9.19855,1.35977,0.64730,0.61336,0.67164,0.81369,0.72385,0.51438,0.38939,0.26447,0.22453,0.19203,0.15734,0.14556,19.87128
15-19,0.54388,1.08080,3.24521,8.10170,1.67191,0.78406,0.50996,0.69218,0.58711,0.52042,0.40137,0.25352,0.22078,0.18044,0.14568,0.13702,19.07604
20-24,0.73781,0.69807,0.73171,3.07623,3.96596,1.75564,0.92893,0.70726,0.58817,0.56354,0.45422,0.31666,0.24918,0.17966,0.17891,0.14942,15.28137
25-29,1.33367,0.81054,0.52543,1.19798,2.43055,2.67587,1.54484,1.12566,0.88694,0.71360,0.65303,0.42064,0.33129,0.22443,0.18048,0.14624,15.20119
30-34,1.30375,1.49457,1.15707,0.70740,1.33543,1.79900,1.76318,1.42464,1.04414,0.81042,0.62635,0.48988,0.35300,0.23576,0.16204,0.15475,14.86138
35-39,1.32672,1.82830,1.35475,1.03096,0.99215,1.48099,1.55047,1.73715,1.46098,0.99834,0.76591,0.47926,0.34739,0.25622,0.20344,0.16809,15.98112
40-44,0.97693,1.41874,1.47795,1.06343,1.14968,1.26362,1.45446,1.46696,1.50075,1.15928,0.87402,0.44341,0.38636,0.25400,0.20447,0.20122,15.29528
45-49,0.58499,0.94208,1.08281,1.25861,1.02813,1.09723,1.16688,1.28914,1.20138,1.13364,0.84513,0.55044,0.34643,0.25251,0.20935,0.18011,13.16886
50-54,0.57426,0.80214,1.09701,1.21012,1.30073,1.40713,1.11376,1.02431,1.21535,1.18559,0.93921,0.68259,0.43668,0.23835,0.21280,0.19736,13.63739
55-59,0.81885,0.97019,0.86908,0.87421,0.99442,1.27722,1.19718,0.92267,0.90835,0.76377,0.79716,0.60345,0.44987,0.29492,0.18855,0.18005,12.10994
60-64,0.74756,0.97984,0.79900,0.73144,0.80721,0.95182,0.85296,0.84012,0.71838,0.57614,0.62415,0.49200,0.34304,0.28320,0.21774,0.17623,10.14083
65-69,0.56055,0.93596,0.75508,0.53626,0.65520,0.72851,0.75500,0.67132,0.55524,0.39374,0.46324,0.41837,0.33368,0.25541,0.20864,0.16995,8.39615
70-74,0.28031,0.60157,0.62113,0.70040,0.44373,0.56482,0.45261,0.55457,0.51515,0.38235,0.35061,0.29010,0.38476,0.29419,0.25732,0.18634,6.87996
75+,0.46301,0.60895,0.76751,0.60613,0.38875,0.37741,0.48134,0.51509,0.40315,0.37504,0.42663,0.33064,0.25782,0.30069,0.22503,0.16726,6.69445
Column total,15.66694,24.35508,26.81674,23.82197,19.08995,18.75811,16.33566,15.45112,13.46943,10.84919,9.27293,6.58933,5.16506,3.82515,3.05425,2.64107,215.16198
