age_group_from,age_group_to,contact_rate,data_status
<1,<1,1,placeholder_replace_with_contact_matrix
<1,1-4,0.2,placeholder_replace_with_contact_matrix
<1,5-9,0.2,placeholder_replace_with_contact_matrix
<1,10-14,0.2,placeholder_replace_with_contact_matrix
<1,15-19,0.2,placeholder_replace_with_contact_matrix
<1,20+,0.2,placeholder_replace_with_contact_matrix
1-4,<1,0.2,placeholder_replace_with_contact_matrix
1-4,1-4,1,placeholder_replace_with_contact_matrix
1-4,5-9,0.2,placeholder_replace_with_contact_matrix
1-4,10-14,0.2,placeholder_replace_with_contact_matrix
1-4,15-19,0.2,placeholder_replace_with_contact_matrix
1-4,20+,0.2,placeholder_replace_with_contact_matrix
5-9,<1,0.2,placeholder_replace_with_contact_matrix
5-9,1-4,0.2,placeholder_replace_with_contact_matrix
5-9,5-9,1,placeholder_replace_with_contact_matrix
5-9,10-14,0.2,placeholder_replace_with_contact_matrix
5-9,15-19,0.2,placeholder_replace_with_contact_matrix
5-9,20+,0.2,placeholder_replace_with_contact_matrix
10-14,<1,0.2,placeholder_replace_with_contact_matrix
10-14,1-4,0.2,placeholder_replace_with_contact_matrix
10-14,5-9,0.2,placeholder_replace_with_contact_matrix
10-14,10-14,1,placeholder_replace_with_contact_matrix
10-14,15-19,0.2,placeholder_replace_with_contact_matrix
10-14,20+,0.2,placeholder_replace_with_contact_matrix
15-19,<1,0.2,placeholder_replace_with_contact_matrix
15-19,1-4,0.2,placeholder_replace_with_contact_matrix
15-19,5-9,0.2,placeholder_replace_with_contact_matrix
15-19,10-14,0.2,placeholder_replace_with_contact_matrix
15-19,15-19,1,placeholder_replace_with_contact_matrix
15-19,20+,0.2,placeholder_replace_with_contact_matrix
20+,<1,0.2,placeholder_replace_with_contact_matrix
20+,1-4,0.2,placeholder_replace_with_contact_matrix
20+,5-9,0.2,placeholder_replace_with_contact_matrix
20+,10-14,0.2,placeholder_replace_with_contact_matrix
20+,15-19,0.2,placeholder_replace_with_contact_matrix
20+,20+,1,placeholder_replace_with_contact_matrix
