year,age_group,population,births,mortality_rate,data_status
2020,<1,NA,NA,NA,replace_with_external_demographic_data
2020,1-4,NA,0,NA,replace_with_external_demographic_data
2020,5-9,NA,0,NA,replace_with_external_demographic_data
2020,10-14,NA,0,NA,replace_with_external_demographic_data
2020,15-19,NA,0,NA,replace_with_external_demographic_data
2020,20+,NA,0,NA,replace_with_external_demographic_data
2021,<1,NA,NA,NA,replace_with_external_demographic_data
2021,1-4,NA,0,NA,replace_with_external_demographic_data
2021,5-9,NA,0,NA,replace_with_external_demographic_data
2021,10-14,NA,0,NA,replace_with_external_demographic_data
2021,15-19,NA,0,NA,replace_with_external_demographic_data
2021,20+,NA,0,NA,replace_with_external_demographic_data
2022,<1,NA,NA,NA,replace_with_external_demographic_data
2022,1-4,NA,0,NA,replace_with_external_demographic_data
2022,5-9,NA,0,NA,replace_with_external_demographic_data
2022,10-14,NA,0,NA,replace_with_external_demographic_data
2022,15-19,NA,0,NA,replace_with_external_demographic_data
2022,20+,NA,0,NA,replace_with_external_demographic_data
2023,<1,NA,NA,NA,replace_with_external_demographic_data
2023,1-4,NA,0,NA,replace_with_external_demographic_data
2023,5-9,NA,0,NA,replace_with_external_demographic_data
2023,10-14,NA,0,NA,replace_with_external_demographic_data
2023,15-19,NA,0,NA,replace_with_external_demographic_data
2023,20+,NA,0,NA,replace_with_external_demographic_data
2024,<1,NA,NA,NA,replace_with_external_demographic_data
2024,1-4,NA,0,NA,replace_with_external_demographic_data
2024,5-9,NA,0,NA,replace_with_external_demographic_data
2024,10-14,NA,0,NA,replace_with_external_demographic_data
2024,15-19,NA,0,NA,replace_with_external_demographic_data
2024,20+,NA,0,NA,replace_with_external_demographic_data
