t,year,epi_week,year_week,reported_cases,reported_deaths,mcv1,mcv2,dropout_model,sia_active,sia_coverage_weekly,sia_coverage_total,sia_age_group,line_list_cases,line_list_deaths,median_age_years,mean_reporting_delay_days,specimen_tested_cases,lab_confirmed_cases,confirmed_lab_or_epi_cases,national_model_quality_flag,usable_for_initial_national_model,national_population,births,weekly_births,crude_death_rate,weekly_mortality_rate,has_demography,demographic_quality_flag
1,2020,1,2020-W01,799,1,0.5641261574823331,0.48944431468207855,0.13238500255608757,FALSE,0,0,NA,110,1,4,9.853658536585366,41,39,108,contains_adjusted_vaccination_inputs,TRUE,118917671,3960548,74727.32075471699,0.00629,1.1867924528301886e-4,TRUE,ok
2,2020,2,2020-W02,786,3,0.5641261574823331,0.48944431468207855,0.13238500255608757,FALSE,0,0,NA,184,0,5,4.925925925925926,54,53,183,contains_adjusted_vaccination_inputs,TRUE,118917671,3960548,74727.32075471699,0.00629,1.1867924528301886e-4,TRUE,ok
3,2020,3,2020-W03,754,4,0.5641261574823331,0.48944431468207855,0.13238500255608757,FALSE,0,0,NA,116,1,5,5.338983050847458,59,53,110,contains_adjusted_vaccination_inputs,TRUE,118917671,3960548,74727.32075471699,0.00629,1.1867924528301886e-4,TRUE,ok
4,2020,4,2020-W04,665,5,0.5641261574823331,0.48944431468207855,0.13238500255608757,FALSE,0,0,NA,145,0,5.5,4,76,74,143,contains_adjusted_vaccination_inputs,TRUE,118917671,3960548,74727.32075471699,0.00629,1.1867924528301886e-4,TRUE,ok
5,2020,5,2020-W05,762,0,0.5641261574823331,0.48944431468207855,0.13238500255608757,FALSE,0,0,NA,248,0,7.5,4.873239436619718,71,68,245,contains_adjusted_vaccination_inputs,TRUE,118917671,3960548,74727.32075471699,0.00629,1.1867924528301886e-4,TRUE,ok
6,2020,6,2020-W06,916,1,0.5641261574823331,0.48944431468207855,0.13238500255608757,FALSE,0,0,NA,174,0,5,4.472222222222222,72,68,170,contains_adjusted_vaccination_inputs,TRUE,118917671,3960548,74727.32075471699,0.00629,1.1867924528301886e-4,TRUE,ok
7,2020,7,2020-W07,888,5,0.5641261574823331,0.48944431468207855,0.13238500255608757,FALSE,0,0,NA,133,0,7,5.323943661971831,71,64,126,contains_adjusted_vaccination_inputs,TRUE,118917671,3960548,74727.32075471699,0.00629,1.1867924528301886e-4,TRUE,ok
8,2020,8,2020-W08,1974,7,0.5641261574823331,0.48944431468207855,0.13238500255608757,FALSE,0,0,NA,249,1,3,3.3805309734513274,113,110,246,contains_adjusted_vaccination_inputs,TRUE,118917671,3960548,74727.32075471699,0.00629,1.1867924528301886e-4,TRUE,ok
9,2020,9,2020-W09,2254,9,0.5641261574823331,0.48944431468207855,0.13238500255608757,FALSE,0,0,NA,137,0,3,4.681818181818182,66,58,129,contains_adjusted_vaccination_inputs,TRUE,118917671,3960548,74727.32075471699,0.00629,1.1867924528301886e-4,TRUE,ok
10,2020,10,2020-W10,1299,1,0.5641261574823331,0.48944431468207855,0.13238500255608757,FALSE,0,0,NA,74,0,8,4.260869565217392,69,66,71,contains_adjusted_vaccination_inputs,TRUE,118917671,3960548,74727.32075471699,0.00629,1.1867924528301886e-4,TRUE,ok
11,2020,11,2020-W11,890,2,0.5641261574823331,0.48944431468207855,0.13238500255608757,FALSE,0,0,NA,70,0,5,4.318181818181818,66,61,65,contains_adjusted_vaccination_inputs,TRUE,118917671,3960548,74727.32075471699,0.00629,1.1867924528301886e-4,TRUE,ok
12,2020,12,2020-W12,947,1,0.5641261574823331,0.48944431468207855,0.13238500255608757,FALSE,0,0,NA,22,0,5,4.333333333333333,18,17,21,contains_adjusted_vaccination_inputs,TRUE,118917671,3960548,74727.32075471699,0.00629,1.1867924528301886e-4,TRUE,ok
13,2020,13,2020-W13,835,9,0.5641261574823331,0.48944431468207855,0.13238500255608757,FALSE,0,0,NA,33,0,5.916666666666667,5.333333333333333,18,16,31,contains_adjusted_vaccination_inputs,TRUE,118917671,3960548,74727.32075471699,0.00629,1.1867924528301886e-4,TRUE,ok
14,2020,14,2020-W14,617,2,0.5641261574823331,0.48944431468207855,0.13238500255608757,FALSE,0,0,NA,25,1,3,5,7,7,25,contains_adjusted_vaccination_inputs,TRUE,118917671,3960548,74727.32075471699,0.00629,1.1867924528301886e-4,TRUE,ok
15,2020,15,2020-W15,512,8,0.5641261574823331,0.48944431468207855,0.13238500255608757,FALSE,0,0,NA,40,1,5,4.25,8,8,40,contains_adjusted_vaccination_inputs,TRUE,118917671,3960548,74727.32075471699,0.00629,1.1867924528301886e-4,TRUE,ok
16,2020,16,2020-W16,530,7,0.5641261574823331,0.48944431468207855,0.13238500255608757,FALSE,0,0,NA,15,0,4,7.2,10,7,12,contains_adjusted_vaccination_inputs,TRUE,118917671,3960548,74727.32075471699,0.00629,1.1867924528301886e-4,TRUE,ok
17,2020,17,2020-W17,563,2,0.5641261574823331,0.48944431468207855,0.13238500255608757,FALSE,0,0,NA,19,0,7,5.7894736842105265,19,17,17,contains_adjusted_vaccination_inputs,TRUE,118917671,3960548,74727.32075471699,0.00629,1.1867924528301886e-4,TRUE,ok
18,2020,18,2020-W18,516,1,0.5641261574823331,0.48944431468207855,0.13238500255608757,FALSE,0,0,NA,19,0,6,7.2105263157894735,19,16,16,contains_adjusted_vaccination_inputs,TRUE,118917671,3960548,74727.32075471699,0.00629,1.1867924528301886e-4,TRUE,ok
19,2020,19,2020-W19,401,2,0.5641261574823331,0.48944431468207855,0.13238500255608757,FALSE,0,0,NA,7,0,4.75,15.285714285714286,7,6,6,contains_adjusted_vaccination_inputs,TRUE,118917671,3960548,74727.32075471699,0.00629,1.1867924528301886e-4,TRUE,ok
20,2020,20,2020-W20,536,9,0.5641261574823331,0.48944431468207855,0.13238500255608757,FALSE,0,0,NA,14,0,3,19.75,14,12,12,contains_adjusted_vaccination_inputs,TRUE,118917671,3960548,74727.32075471699,0.00629,1.1867924528301886e-4,TRUE,ok
21,2020,21,2020-W21,359,1,0.5641261574823331,0.48944431468207855,0.13238500255608757,FALSE,0,0,NA,4,0,3.5,3.75,4,3,3,contains_adjusted_vaccination_inputs,TRUE,118917671,3960548,74727.32075471699,0.00629,1.1867924528301886e-4,TRUE,ok
22,2020,22,2020-W22,322,0,0.5641261574823331,0.48944431468207855,0.13238500255608757,FALSE,0,0,NA,11,0,5,2.5555555555555554,11,9,9,contains_adjusted_vaccination_inputs,TRUE,118917671,3960548,74727.32075471699,0.00629,1.1867924528301886e-4,TRUE,ok
