year,intervention,start_date,end_date,age_group,extent,target_population,reached_population,percent_reached,survey_result,areas_comments,campaign_id,percent_reached_raw,sia_coverage_admin,sia_coverage_model,campaign_duration_days,flag_sia_coverage_gt_100,flag_sia_missing_dates,flag_sia_invalid_dates,flag_sia_missing_coverage,sia_quality_flag,sia_target_age_lower_months,sia_target_age_upper_months,within_model_period,use_for_national_model
2010,Measles,2010-02-18,2010-04-30,6–59 months,Sub-national,1057327,961798,91,NA,Outbreak response,SIA_2010_11,91,0.91,0.91,72,FALSE,FALSE,FALSE,FALSE,ok,6,59,FALSE,FALSE
2010,Measles,2010-10-22,2010-10-25,9–47 months,Rollover-national,7656367,8171534,107,NA,"Except Afar, Tigray, and Gambella, which were covered in 2011",SIA_2010_10,107,1.07,1,4,TRUE,FALSE,FALSE,FALSE,coverage_above_100_adjusted,9,47,FALSE,FALSE
2011,Measles,2011-02-18,2011-02-21,9–47 months,Rollover-national,774658,757421,98,NA,"Targeting 4 major regions: Tigray, Benishangul-Gumuz, Gambella, and Afar",SIA_2011_9,98,0.98,0.98,4,FALSE,FALSE,FALSE,FALSE,ok,9,47,FALSE,FALSE
2011,Measles,2011-10-01,2011-11-01,6 months–14 years,Unknown,7326463,7034264,96,NA,NA,SIA_2011_8,96,0.96,0.96,32,FALSE,FALSE,FALSE,FALSE,ok,6,168,FALSE,FALSE
2013,Measles,2013-05-29,2013-06-05,9–59 months,National,11873928,11609484,98,91,NA,SIA_2013_7,98,0.98,0.98,8,FALSE,FALSE,FALSE,FALSE,ok,9,59,FALSE,FALSE
2015,Measles,2015-10-19,2016-01-31,6–59 months,Sub-national,4865893,5145284,106,NA,Including all districts,SIA_2015_6,106,1.06,1,105,TRUE,FALSE,FALSE,FALSE,coverage_above_100_adjusted,6,59,FALSE,FALSE
2016,Measles,2016-04-22,2016-04-28,6 months–<15 years,Sub-national,25706550,24986589,97,94,"Campaign conducted April 22–28, 2016 in all other regions except April 26–May 2 in SNNPR. Integrated with OPV.",SIA_2016_5,97,0.97,0.97,7,FALSE,FALSE,FALSE,FALSE,ok,6,180,FALSE,FALSE
2017,Measles,2017-02-23,2017-03-10,9 months–14 years,Sub-national,22035787,21225199,96.3,93,9–59 months nationwide and 5–<15 years in all woredas not covered in April 2016 SIA,SIA_2017_4,96.3,0.963,0.963,16,FALSE,FALSE,FALSE,FALSE,ok,9,168,FALSE,FALSE
2017,Measles,2017-07-29,2017-08-04,6–179 months,Sub-national,2579178,2524841,98,NA,Somali Region final campaign report pending,SIA_2017_3,98,0.98,0.98,7,FALSE,FALSE,FALSE,FALSE,ok,6,179,FALSE,FALSE
2020,Measles,2020-06-30,2020-07-09,9–59 months,National,14181144,14578012,102.8,NA,NA,SIA_2020_2,102.8,1.028,1,10,TRUE,FALSE,FALSE,FALSE,coverage_above_100_adjusted,9,59,TRUE,TRUE
2022,Measles,2022-12-22,2022-12-31,9–59 months,National,14804376,14579818,98.48,NA,NA,SIA_2022_1,98.48,0.9848,0.9848,10,FALSE,FALSE,FALSE,FALSE,ok,9,59,TRUE,TRUE
