region,zone,woreda,geo_id,year,epi_week,year_week,measles_cases,measles_deaths,flag_deaths_gt_cases,surveillance_quality_flag
Addis Ababa,region 14,addis ketema,Addis Ababa__region 14__addis ketema,2020,1,2020-W01,0,0,FALSE,ok
Addis Ababa,region 14,addis ketema,Addis Ababa__region 14__addis ketema,2020,2,2020-W02,1,0,FALSE,ok
Addis Ababa,region 14,addis ketema,Addis Ababa__region 14__addis ketema,2020,3,2020-W03,0,0,FALSE,ok
Addis Ababa,region 14,addis ketema,Addis Ababa__region 14__addis ketema,2020,4,2020-W04,3,0,FALSE,ok
Addis Ababa,region 14,addis ketema,Addis Ababa__region 14__addis ketema,2020,5,2020-W05,0,0,FALSE,ok
Addis Ababa,region 14,addis ketema,Addis Ababa__region 14__addis ketema,2020,6,2020-W06,0,0,FALSE,ok
Addis Ababa,region 14,addis ketema,Addis Ababa__region 14__addis ketema,2020,7,2020-W07,1,0,FALSE,ok
Addis Ababa,region 14,addis ketema,Addis Ababa__region 14__addis ketema,2020,8,2020-W08,3,0,FALSE,ok
Addis Ababa,region 14,addis ketema,Addis Ababa__region 14__addis ketema,2020,9,2020-W09,4,0,FALSE,ok
Addis Ababa,region 14,addis ketema,Addis Ababa__region 14__addis ketema,2020,10,2020-W10,2,0,FALSE,ok
Addis Ababa,region 14,addis ketema,Addis Ababa__region 14__addis ketema,2020,11,2020-W11,0,0,FALSE,ok
Addis Ababa,region 14,addis ketema,Addis Ababa__region 14__addis ketema,2020,12,2020-W12,1,0,FALSE,ok
Addis Ababa,region 14,addis ketema,Addis Ababa__region 14__addis ketema,2020,13,2020-W13,2,0,FALSE,ok
Addis Ababa,region 14,addis ketema,Addis Ababa__region 14__addis ketema,2020,14,2020-W14,3,0,FALSE,ok
Addis Ababa,region 14,addis ketema,Addis Ababa__region 14__addis ketema,2020,15,2020-W15,0,0,FALSE,ok
Addis Ababa,region 14,addis ketema,Addis Ababa__region 14__addis ketema,2020,16,2020-W16,0,0,FALSE,ok
Addis Ababa,region 14,addis ketema,Addis Ababa__region 14__addis ketema,2020,17,2020-W17,0,0,FALSE,ok
